id,name,pbn,fullName
"50000136","Historyczny","1589","Wydział Historyczny"
"50000145","Studiów Międzynarod","1587","Studiów Międzynarod"
"50000143","Biochemii, Biofiz. I Biotechn.","1570","Wydział Biochemii"
"50000141","Chemii","1595","Wydział Chemii"
"50000140","Matematyki","1599","Matematyki"
"50000138","Polonistyki","1593","Polonistyki"
"50000134","Prawa","1551","Wydział Prawa i Administracji"
"50000135","Filozoficzny","1549","Filozoficzny"
"50000137","Filologiczny","1588","Filologiczny"
"50000139","Fizyki","1591","Wydział Fizyki"
"50000144","Zarządzania","1571","Wydział Zarządzania i Komunikacji Społecznej"
"50000142","Biologii","1604","Wydział Biologii"
"50000055","BJ","","Biblioteka Jagiellońska"
